Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
662b5e417d5a54324d586817,661fdfd33dfe00cbf53aca75,RETURNED,Not Applicable,2024-04-26T07:56:56.277000Z,,,2024-05-06T11:14:00.763769Z,,,7,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e4229d54d061c001a96,61574e3de0229e6bb92368c2,APPROVED,Not Applicable,2024-04-26T07:56:50.650000Z,2024-04-26T08:35:12.738000Z,2024-04-29T20:54:46.219000Z,2024-04-26T08:35:13.587001Z,2303.0,CW8BWO89,181,Yes,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
662b5e43d009476b7adb3a48,5c53ef4f26a39500019719b4,APPROVED,Not Applicable,2024-04-26T07:56:51.379000Z,2024-04-26T08:10:45.328000Z,2024-04-29T20:54:46.405000Z,2024-04-26T08:10:45.838552Z,834.0,CW8BWO89,713,Yes,31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
662b5e445288195774b3127d,657bd47cdd8ce6a5aadd4c69,APPROVED,Not Applicable,2024-04-26T07:56:52.031000Z,2024-04-26T08:24:46.883000Z,2024-04-29T20:54:46.679000Z,2024-04-26T08:26:48.347181Z,1675.0,CW8BWO89,30,Yes,30,Male,Black,South Africa,South Africa,South Africa,Other,Yes,Part-Time
662b5e4e47bcb7407e38d850,603cd9dda3d28fac931d45e5,APPROVED,Not Applicable,2024-04-26T07:57:06.276000Z,2024-04-26T08:13:57.876000Z,2024-04-29T20:54:46.873000Z,2024-04-26T08:16:30.911731Z,1012.0,CW8BWO89,124,Yes,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
662b5e52641608d393db4041,5e56a5416589e605ffda2972,RETURNED,Not Applicable,2024-04-26T08:07:06.483000Z,,,2024-05-06T11:14:00.767302Z,,,145,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e5376bbea3fdcb97370,611c5d79bfc8b929093b0506,APPROVED,Not Applicable,2024-04-26T07:57:12.892000Z,2024-04-26T08:22:31.602000Z,2024-04-29T20:54:47.042000Z,2024-04-26T08:22:32.088540Z,1519.0,CW8BWO89,208,Yes,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
662b5e5594d019f2cde32768,64cbaeb4548e5610b82c1961,RETURNED,Not Applicable,2024-04-26T07:57:09.094000Z,,,2024-05-06T11:14:00.767705Z,,,27,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e5920f84729db42149b,6141cd534c8a98741eb01942,RETURNED,Not Applicable,2024-04-26T07:57:13.995000Z,,,2024-05-06T11:14:00.779786Z,,,651,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e5b76bbea3fdcb97373,60de9ea0f8390af1bfa02e6c,RETURNED,Not Applicable,2024-04-26T08:07:15.695000Z,,,2024-05-06T11:14:00.778894Z,,,274,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
